date,route,dgca_avg_fare,vayu_computed
2026-07-28,DEL-BOM,5280,100.00
2026-07-28,BOM-BLR,4650,100.00
2026-07-28,DEL-BLR,5480,100.00
2026-07-29,DEL-BOM,5310,100.57
2026-07-29,BOM-BLR,4680,100.57
2026-07-29,DEL-BLR,5520,100.57
2026-07-30,DEL-BOM,5250,99.43
2026-07-30,BOM-BLR,4620,99.43
2026-07-30,DEL-BLR,5450,99.43
2026-07-31,DEL-BOM,5340,101.14
2026-07-31,BOM-BLR,4710,101.14
2026-07-31,DEL-BLR,5560,101.14
2026-08-01,DEL-BOM,5420,102.65
2026-08-01,BOM-BLR,4780,102.65
2026-08-01,DEL-BLR,5650,102.65
2026-08-02,DEL-BOM,5380,101.89
2026-08-02,BOM-BLR,4740,101.89
2026-08-02,DEL-BLR,5600,101.89
2026-08-03,DEL-BOM,5290,100.19
2026-08-03,BOM-BLR,4660,100.19
2026-08-03,DEL-BLR,5490,100.19
2026-08-04,DEL-BOM,5360,101.52
2026-08-04,BOM-BLR,4720,101.52
2026-08-04,DEL-BLR,5580,101.52
2026-08-05,DEL-BOM,5440,103.03
2026-08-05,BOM-BLR,4800,103.03
2026-08-05,DEL-BLR,5670,103.03
2026-08-06,DEL-BOM,5390,102.08
2026-08-06,BOM-BLR,4750,102.08
2026-08-06,DEL-BLR,5610,102.08
2026-08-07,DEL-BOM,5470,103.60
2026-08-07,BOM-BLR,4830,103.60
2026-08-07,DEL-BLR,5700,103.60
2026-08-08,DEL-BOM,5510,104.36
2026-08-08,BOM-BLR,4860,104.36
2026-08-08,DEL-BLR,5740,104.36
2026-08-09,DEL-BOM,5460,103.42
2026-08-09,BOM-BLR,4810,103.42
2026-08-09,DEL-BLR,5680,103.42
2026-08-10,DEL-BOM,5350,101.33
2026-08-10,BOM-BLR,4710,101.33
2026-08-10,DEL-BLR,5560,101.33
2026-08-11,DEL-BOM,5400,102.27
2026-08-11,BOM-BLR,4760,102.27
2026-08-11,DEL-BLR,5620,102.27
2026-08-12,DEL-BOM,5480,103.79
2026-08-12,BOM-BLR,4840,103.79
2026-08-12,DEL-BLR,5710,103.79
2026-08-13,DEL-BOM,5520,104.55
2026-08-13,BOM-BLR,4870,104.55
2026-08-13,DEL-BLR,5750,104.55
2026-08-14,DEL-BOM,5600,106.06
2026-08-14,BOM-BLR,4940,106.06
2026-08-14,DEL-BLR,5850,106.06
2026-08-15,DEL-BOM,5750,108.90
2026-08-15,BOM-BLR,5070,108.90
2026-08-15,DEL-BLR,6000,108.90
2026-08-16,DEL-BOM,5680,107.58
2026-08-16,BOM-BLR,5010,107.58
2026-08-16,DEL-BLR,5920,107.58
2026-08-17,DEL-BOM,5550,105.11
2026-08-17,BOM-BLR,4890,105.11
2026-08-17,DEL-BLR,5780,105.11
2026-08-18,DEL-BOM,5500,104.17
2026-08-18,BOM-BLR,4850,104.17
2026-08-18,DEL-BLR,5730,104.17
2026-08-19,DEL-BOM,5560,105.30
2026-08-19,BOM-BLR,4900,105.30
2026-08-19,DEL-BLR,5790,105.30
2026-08-20,DEL-BOM,5620,106.44
2026-08-20,BOM-BLR,4950,106.44
2026-08-20,DEL-BLR,5860,106.44
2026-08-21,DEL-BOM,5580,105.68
2026-08-21,BOM-BLR,4920,105.68
2026-08-21,DEL-BLR,5810,105.68
2026-08-22,DEL-BOM,5540,104.92
2026-08-22,BOM-BLR,4880,104.92
2026-08-22,DEL-BLR,5770,104.92
2026-08-23,DEL-BOM,5490,103.98
2026-08-23,BOM-BLR,4840,103.98
2026-08-23,DEL-BLR,5710,103.98
2026-08-24,DEL-BOM,5460,103.41
2026-08-24,BOM-BLR,4810,103.41
2026-08-24,DEL-BLR,5680,103.41
2026-08-25,DEL-BOM,5530,104.73
2026-08-25,BOM-BLR,4870,104.73
2026-08-25,DEL-BLR,5760,104.73
2026-08-26,DEL-BOM,5590,105.87
2026-08-26,BOM-BLR,4930,105.87
2026-08-26,DEL-BLR,5830,105.87
2026-08-27,DEL-BOM,5640,106.82
2026-08-27,BOM-BLR,4970,106.82
2026-08-27,DEL-BLR,5880,106.82
2026-08-28,DEL-BOM,5610,106.25
2026-08-28,BOM-BLR,4940,106.25
2026-08-28,DEL-BLR,5850,106.25
